,US Gasoline Prices,US GDP,oil_production_bbl,oil_total_liquids_consumption,oil_consumption_bbl,oil_consumption_light_distillates,oil_consumption_middle_distillates,oil_consumption_fuel_oil,oil_consumption_others,oil_crude_oil_prices,natural_gas_production_ej,natural_gas_consumption_ej,primary_energy_consumption,primary_energy_consumption_per_capital,carbon_dioxide_emissions_from_energy,coal_production_ej,coal_consumption_ej,nuclear_energy_generation_twh,nuclear_energy_consumption_ej,hydroelectricity_generation_twh,hydroelectricity_consumption_ej,renewables_consumption_ej,renewables_generation_ej
unit,USD,Billions of USD,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,US_dollars_per_barrel,exajoules,exajoules,exajoules,gigajoule_per_capita,million_tonnes_of_carbon_dioxide,exajoules,exajoules,terawatt_hours,exajoules,terawatt_hours,exajoules,exajoules,exajoules
1965,0.3,743.7,9014.148,11512.436,11512.436,4712.88,2994.598,1608.249,2196.709,1.8,14.973,14.97314197,51.9829241,260.2611856,3451.891855,12.648,11.60727883,3.849156842,0.03931934409,198.9740859,2.118111237,0.152955221,0.152955221
1966,0.31,815,9579.241,12084.373,12084.373,4913.373,3131.187,1716.247,2323.566,1.8,16.138,16.13792204,54.89050835,271.8754884,3639.795004,13.1232,12.17104624,5.810430526,0.05935386022,199.9369071,2.128360624,0.1613430228,0.1613430228
1967,0.32,861.7,10219.252,12560.345,12560.345,5048.458,3339.723,1785.986,2386.178,1.8,17.039,17.03947824,56.80274233,278.574433,3738.161319,13.5576,11.94118808,8.05812,0.08231412903,227.2208131,2.418802204,0.161300981,0.161300981
1968,0.33,942.5,10599.743,13392.866,13392.866,5344.265,3625.279,1825.79,2597.532,1.8,19.635,18.24053399,60.18978741,292.4592032,3947.343459,13.3608,12.35907529,13.18780947,0.1347141828,228.1547051,2.428743634,0.1780603973,0.1780603973
1969,0.34,1019.9,10827.674,14136.795,14136.795,5596.017,3732.496,1977.874,2830.408,1.8,20.695,19.63478524,63.30032381,304.8278201,4117.396247,13.704,12.41005543,14.66088316,0.1497617097,256.0285222,2.725464914,0.1856401428,0.1856401428
1970,0.35,1073.303,11296.849,14697.186,14697.186,5839.047,3770.309,2203.529,2884.301,1.8,20.57264274,20.69516986,65.541021,312.8250497,4271.528132,14.705,12.29277394,22.95205053,0.2344564301,253.4923657,2.698467118,0.1858643369,0.1858643369
1971,0.36,1164.85,11155.778,15212.493,15212.493,6063.452,3920.428,2296.014,2932.599,2.24,21.1557815,21.33549433,66.9204316,316.5821755,4309.068601,13.4216,11.62512284,40.11004737,0.4097262903,272.253999,2.898187731,0.1898387627,0.1898387627
1972,0.36,1279.11,11184.896,16366.984,16366.984,6422.686,4192.49,2529.09,3222.718,2.48,21.08718029,21.55307238,70.25069384,329.3982185,4525.83078,14.46,12.10473086,56.93803684,0.5816251075,278.7159879,2.966976645,0.2126031125,0.2126031125
1973,0.36,1425.376,10945.953,17307.679,17307.679,6719.69,4367.824,2822.403,3397.762,3.29,21.06800317,21.37665449,73.22326459,340.2903335,4739.462447,14.3664,13.00136412,87.87311895,0.8976286344,278.212701,2.961619075,0.2270781608,0.2270781608
1974,0.39,1545.243,10461.205,16652.71,16652.71,6581.896,4117.447,2638.948,3314.419,11.58,20.14009886,20.63608979,71.43338473,329.0118983,4567.579913,14.64,12.69204137,119.9744632,1.225545591,307.2846515,3.271094677,0.231187941,0.231187941
1975,0.53,1684.904,10007.737,16321.959,16321.959,6713.14,4010.551,2461.841,3136.427,11.53,18.64949295,18.94151764,69.55013677,317.4627531,4386.800296,15.7104,12.69194916,181.5842895,1.85489328,306.2148212,3.259706161,0.2226520293,0.2226520293
1976,0.57,1873.412,9735.639,17461.066,17461.066,7014.197,4289.543,2800.951,3356.375,12.8,18.49754211,19.3190047,73.35543496,331.7952891,4647.562781,16.436,13.61535192,201.1616116,2.054876677,289.8224626,3.08520686,0.2544519298,0.2544519298
1977,0.59,2081.826,9862.562,18431.419,18431.419,7214.992,4565.882,3071.033,3579.512,13.92,18.57825579,18.92502395,75.22432833,337.123742,4791.336693,16.7328,13.95416644,264.0876663,2.69766971,225.8572596,2.404286957,0.2656606276,0.2656606276
1978,0.62,2351.599,10274.441,18846.622,18846.622,7655.761014,4663.704,3022.556,3504.600986,14.02,18.50219491,18.99138517,76.89344715,341.4098131,4833.699474,16.0848,13.79727795,290.9506,2.972076022,286.3285091,3.048013161,0.2796048332,0.2796048332
1979,0.63,2627.333,10135.534,18512.54,18512.54,7310.170425,4574.589,2826.184,3801.596575,31.61,19.06350066,19.62323206,77.70384167,341.7967526,4921.142686,18.7064,15.07422307,268.5838137,2.743598097,285.9353293,3.043827699,0.2907596108,0.2907596108
1980,0.86,2857.307,10169.626,17055.861,17055.861,6860.563038,4091.997,2508.268,3595.032962,36.83,18.9032669,19.2145855,74.70704916,325.5544456,4742.374464,19.9128,15.45832865,264.3321842,2.700167473,282.0021111,3.001957957,0.2995117144,0.2995117144
1981,1.19,3207.041,10180.573,16057.69466,16057.69466,6718.966465,3963.01,2087.753,3287.965192,35.93,18.7053379,18.75106349,72.49713467,312.9786144,4596.205926,18.41909581,15.94416199,287.02474,2.931973151,266.5097616,2.837039398,0.3069789583,0.3069789583
